name,platform,cluster,applications,backup_enabled,backup_ip,backup_location,business_owner,cpu_cores,criticality,datacenter,decommission_date,description,disks,environment,external_id,fqdn,ha_enabled,last_patch_date,last_verified_at,last_vuln_scan_date,lifecycle,memory_mb,monitoring_enabled,node,os_distribution,os_family,os_name,os_version,owner,pmp_enabled,private_ip,public_ip,security_remarks,sr_id,status,tags,technical_owner,vm_type
vm-pro-001,proxmox,pve-cluster-01,rabbitmq:messaging-team;worker:backend-team,true,,,Engineering,32,high,dc-east-02,,Fleet VM instance 001 hosting infrastructure services,scsi0:30,development,vm-ext-1001,vm-pro-001.example.com,true,2026-06-25,2026-07-06,2026-05-23,retired,32768,true,pve-node-03,RHEL 9.2 Enterprise,linux,RedHat,9.2,Jane Doe,true,10.0.10.11:100:10.0.10.1,,Quarterly security audit passed,SR-50001,running,staging;campaign;temp;marketing,Database Admins,permanent
vm-pro-002,proxmox,pve-cluster-01,api-gateway;auth-service:security-team;rate-limiter,true,172.16.10.12:300:172.16.10.1,,Finance Corp,32,low,dc-east-01,,Fleet VM instance 002 hosting infrastructure services,scsi0:60:nvme-fast:thin,production,vm-ext-1002,vm-pro-002.example.com,false,2026-06-22,2026-07-08,2026-05-25,planned,2048,true,pve-node-03,AlmaLinux 9.3,linux,AlmaLinux,9.3,Maria Garcia,false,10.0.12.12:102:10.0.12.1,198.51.100.12:200:198.51.100.1,,SR-50002,archived,windows;ad;domain-controller;core,Infrastructure Team,permanent
vm-pro-003,proxmox,pve-cluster-02,kafka:stream-team;zookeeper;schema-registry,true,172.16.10.13:300:172.16.10.1,s3://backups/vm-pro-003,Retail Ops,2,high,dc-west-02,,Fleet VM instance 003 hosting infrastructure services,scsi0:120:nvme-pool:thin;scsi1:500:san-vol01:thick,uat,vm-ext-1003,vm-pro-003.example.com,true,2026-06-22,2026-07-11,2026-05-27,active,32768,false,pve-node-03,Server 2022 Datacenter,windows,Windows Server,2022,Sarah Jenkins,true,10.0.12.13:102:10.0.12.1,198.51.100.13:200:198.51.100.1,Quarterly security audit passed,SR-50003,archived,web;prod;pci-dss;frontend,Infrastructure Team,permanent
vm-vmw-004,vmware,vsphere-cluster-02,elasticsearch:log-team;kibana;logstash,true,,,Customer Success,32,medium,dc-east-01,2027-12-21,Fleet VM instance 004 hosting infrastructure services,disk0:80:vsan-datastore:thin,development,vm-ext-1004,vm-vmw-004.example.com,true,2026-06-25,2026-07-02,2026-05-28,retiring,32768,true,esxi-host-03,RHEL 9.2 Enterprise,linux,RedHat,9.2,Alex Lee,true,10.0.11.14:101:10.0.11.1,,,SR-50004,unknown,k8s;worker;stateless;compute,Infrastructure Team,permanent
vm-vmw-005,vmware,vsphere-cluster-03,elasticsearch:log-team;kibana;logstash,true,172.16.10.15:300:172.16.10.1,s3://backups/vm-vmw-005,Marketing Dept,8,low,dc-west-02,,Fleet VM instance 005 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,sandbox,vm-ext-1005,vm-vmw-005.example.com,false,2026-06-04,2026-07-21,2026-05-10,active,2048,true,esxi-host-01,Server 2022 Datacenter,windows,Windows Server,2022,Alex Lee,true,10.0.20.15:110:10.0.20.1,198.51.100.15:200:198.51.100.1,,SR-50005,running,cache;redis;in-memory;high-throughput,Database Admins,permanent
vm-pro-006,proxmox,pve-cluster-01,active-directory;dns-service;dhcp-server,false,172.16.10.16:300:172.16.10.1,s3://backups/vm-pro-006,Logistics Platform,2,critical,dc-west-02,,Fleet VM instance 006 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,production,vm-ext-1006,vm-pro-006.example.com,true,2026-06-17,2026-07-20,2026-05-14,active,65536,true,pve-node-03,Ubuntu 24.04 LTS,linux,Ubuntu,24.04,Maria Garcia,true,10.0.11.16:101:10.0.11.1,198.51.100.16:200:198.51.100.1,,SR-50006,suspended,windows;ad;domain-controller;core,DevOps Team,permanent
vm-vmw-007,vmware,vsphere-cluster-02,mongodb:database-team;express-api,false,,s3://backups/vm-vmw-007,Customer Success,4,critical,dc-west-02,,Fleet VM instance 007 hosting infrastructure services,scsi0:40:local-zfs:thin;scsi1:200:local-zfs:thin,dr,vm-ext-1007,vm-vmw-007.example.com,false,2026-06-16,2026-07-07,2026-05-18,active,2048,false,esxi-host-03,Debian 12 Bookworm,linux,Debian,12.5,Jane Doe,false,10.0.10.17:100:10.0.10.1,198.51.100.17:200:198.51.100.1,,SR-50007,powered_off,monitoring;metrics;prometheus;ops,Platform Eng,permanent
vm-vmw-008,vmware,vsphere-cluster-01,grafana:monitoring-team;prometheus;alertmanager,false,172.16.10.18:300:172.16.10.1,,Customer Success,2,critical,dc-west-02,,Fleet VM instance 008 hosting infrastructure services,disk0:80:vsan-datastore:thin,development,vm-ext-1008,vm-vmw-008.example.com,true,2026-06-15,2026-07-08,2026-05-28,planned,2048,false,esxi-host-04,RHEL 9.2 Enterprise,linux,RedHat,9.2,Maria Garcia,true,10.0.15.18:105:10.0.15.1,198.51.100.18:200:198.51.100.1,,SR-50008,decommissioned,messaging;kafka;broker;event-driven,Cloud Ops,permanent
vm-pro-009,proxmox,pve-cluster-01,nginx:web-team;postgres:database-team;redis,true,,s3://backups/vm-pro-009,Logistics Platform,2,high,dc-east-01,2026-10-16,Fleet VM instance 009 hosting infrastructure services,harddisk1:100:san-storage-01:thick;harddisk2:1000:san-storage-02:thick,development,vm-ext-1009,vm-pro-009.example.com,true,2026-06-05,2026-07-07,2026-05-10,retiring,16384,true,pve-node-01,Ubuntu 22.04 LTS,linux,Ubuntu,22.04,Alex Lee,true,10.0.15.19:105:10.0.15.1,198.51.100.19:200:198.51.100.1,Quarterly security audit passed,SR-50009,unknown,monitoring;metrics;prometheus;ops,SRE Team,temporary
vm-pro-010,proxmox,pve-cluster-02,kafka:stream-team;zookeeper;schema-registry,true,172.16.10.20:300:172.16.10.1,s3://backups/vm-pro-010,Retail Ops,16,high,dc-east-01,,Fleet VM instance 010 hosting infrastructure services,disk0:250:ssd-array:thick;disk1:500:hdd-array:thick,dr,vm-ext-1010,vm-pro-010.example.com,true,2026-06-07,2026-07-22,2026-05-23,active,2048,true,pve-node-01,Ubuntu 24.04 LTS,linux,Ubuntu,24.04,David Chen,true,10.0.20.20:110:10.0.20.1,,Quarterly security audit passed,SR-50010,running,staging;campaign;temp;marketing,Infrastructure Team,permanent
